id	gate	violation_injected	command	exit_when_violated	exit_when_clean	verdict	permanent_test	log
NC-01	tools/check_action_pins.py --strict (INVARIANT-24)	one action pin's SHA is altered to a commit that does not exist upstream	python tools/check_action_pins.py --strict	1	0	OK	tests/test_action_pins.py (if present) / this control	docs/audit/logs/phaseD/NC-01-violated.log ; docs/audit/logs/phaseD/NC-01-clean.log
NC-02	tools/check_algorithm_registry.py (INVARIANT-1 addendum)	the ML-KEM-1024 row is deleted from CSRC_STANDARDS.md while the primitive still ships	python tools/check_algorithm_registry.py	1	0	OK	tests/test_algorithm_registry_gate.py	docs/audit/logs/phaseD/NC-02-violated.log ; docs/audit/logs/phaseD/NC-02-clean.log
NC-03	tools/check_apt_retry.py	one workflow step calls apt-get directly instead of .github/scripts/apt-install.sh	python tools/check_apt_retry.py	1	0	OK	tests/test_apt_retry_gate.py	docs/audit/logs/phaseD/NC-03-violated.log ; docs/audit/logs/phaseD/NC-03-clean.log
NC-04	tools/check_bandit_severity.py	a Bandit JSON report carrying one High-severity, High-confidence finding	python tools/check_bandit_severity.py $NC_SCRATCH/bandit-bad.json	1	0	OK	tests/test_bandit_severity_gate.py	docs/audit/logs/phaseD/NC-04-violated.log ; docs/audit/logs/phaseD/NC-04-clean.log
NC-05	tools/check_c_secret_zeroization.py (INVARIANT-6)	a C source under src/c/ zeroes a secret-named buffer with bare memset()	python tools/check_c_secret_zeroization.py	1	0	OK	tests/test_c_secret_zeroization_gate.py	docs/audit/logs/phaseD/NC-05-violated.log ; docs/audit/logs/phaseD/NC-05-clean.log
NC-06	tools/check_choco_retry.py	one workflow step calls choco install directly instead of .github/scripts/choco-install.ps1	python tools/check_choco_retry.py	1	0	OK	tests/test_choco_retry_gate.py	docs/audit/logs/phaseD/NC-06-violated.log ; docs/audit/logs/phaseD/NC-06-clean.log
NC-07	tools/check_compiler_warnings.py (frozen allowlist)	a strict-lane build log carrying one warning outside the allowlist	python tools/check_compiler_warnings.py $NC_SCRATCH/build-warnings-bad.log	1	0	OK	tests/test_compiler_warning_gate.py	docs/audit/logs/phaseD/NC-07-violated.log ; docs/audit/logs/phaseD/NC-07-clean.log
NC-08	tools/check_corpus_originality.py (INVARIANT-36)	a test module spawns the openssl binary to produce reference material	python tools/check_corpus_originality.py	1	0	OK	tests/test_corpus_originality.py (if present) / this control	docs/audit/logs/phaseD/NC-08-violated.log ; docs/audit/logs/phaseD/NC-08-clean.log
NC-09	tools/check_ctypes_abi.py (INVARIANT-42)	one ctypes argtypes declaration drops a parameter the C header declares	python tools/check_ctypes_abi.py	1	0	OK	tests/test_ctypes_abi_gate.py	docs/audit/logs/phaseD/NC-09-violated.log ; docs/audit/logs/phaseD/NC-09-clean.log
NC-10	tools/check_docker_pins.py	the first FROM in docker/Dockerfile loses its @sha256 digest pin	python tools/check_docker_pins.py	1	0	OK	tests/test_docker_pins_gate.py	docs/audit/logs/phaseD/NC-10-violated.log ; docs/audit/logs/phaseD/NC-10-clean.log
NC-11	tools/check_documented_counts.py	README.md states a test-function count one below the measured value	python tools/check_documented_counts.py	1	0	OK	tests/test_documented_counts_gate.py	docs/audit/logs/phaseD/NC-11-violated.log ; docs/audit/logs/phaseD/NC-11-clean.log
NC-12	tools/check_documented_extras.py (INVARIANT-32)	README.md documents an install extra that pyproject.toml does not define	python tools/check_documented_extras.py	1	0	OK	tests/test_documented_extras.py	docs/audit/logs/phaseD/NC-12-violated.log ; docs/audit/logs/phaseD/NC-12-clean.log
NC-13	tools/check_fdopen_safety.py	a tool wraps a raw descriptor with os.fdopen() without closing it on failure	python tools/check_fdopen_safety.py	1	0	OK	tests/test_fdopen_safety.py (if present) / this control	docs/audit/logs/phaseD/NC-13-violated.log ; docs/audit/logs/phaseD/NC-13-clean.log
NC-14	tools/check_fuzz_target_registration.py (INVARIANT-33)	a new fuzz/fuzz_*.c harness exists that CMake, fuzzing.yml and oss-fuzz do not register	python tools/check_fuzz_target_registration.py	1	0	OK	tests/test_fuzz_target_registration.py (if present) / this control	docs/audit/logs/phaseD/NC-14-violated.log ; docs/audit/logs/phaseD/NC-14-clean.log
NC-15	tools/check_gate_coverage.py (INVARIANT-31)	ci.yml gains a pull-request job that the CI Gate does not need	python tools/check_gate_coverage.py	1	0	OK	tests/test_gate_coverage.py	docs/audit/logs/phaseD/NC-15-violated.log ; docs/audit/logs/phaseD/NC-15-clean.log
NC-16	tools/check_headers.py --check	a tracked Python file without the license header	python tools/check_headers.py --check	1	0	OK	tests/test_headers.py	docs/audit/logs/phaseD/NC-16-violated.log ; docs/audit/logs/phaseD/NC-16-clean.log
NC-17	tools/check_keygen_pct.py (INVARIANT-41)	one keygen entry point releases its keypair without the pairwise consistency test	python tools/check_keygen_pct.py	1	0	OK	tests/test_keygen_pct_gate.py	docs/audit/logs/phaseD/NC-17-violated.log ; docs/audit/logs/phaseD/NC-17-clean.log
NC-18	tools/check_line_endings.py	a tracked text file is rewritten with CRLF line endings in the working tree	python tools/check_line_endings.py	1	0	OK	tests/test_line_endings_gate.py	docs/audit/logs/phaseD/NC-18-violated.log ; docs/audit/logs/phaseD/NC-18-clean.log
NC-19	tools/check_log_message_encodability.py (INVARIANT-43)	a package log call carries a literal outside cp1252	python tools/check_log_message_encodability.py	1	0	OK	tests/test_log_message_encodability_gate.py	docs/audit/logs/phaseD/NC-19-violated.log ; docs/audit/logs/phaseD/NC-19-clean.log
NC-20	tools/check_reference_integrity.py	a shipped document cites a source line number	python tools/check_reference_integrity.py	1	0	OK	tests/test_reference_integrity_gate.py	docs/audit/logs/phaseD/NC-20-violated.log ; docs/audit/logs/phaseD/NC-20-clean.log
NC-21	tools/check_release_state.py (release.yml preflight)	the tree as it stands: 5.0.0 is about to be tagged while CHANGELOG.md, README.md, SECURITY.md and docs/index.rst still call it unreleased	python tools/check_release_state.py --version 5.0.0	1	0	OK	tests/test_release_state_gate.py (if present) / this control	docs/audit/logs/phaseD/NC-21-violated.log ; docs/audit/logs/phaseD/NC-21-clean.log
NC-22	tools/check_secrets.py (INVARIANT-23)	a tracked source file assigns an AWS access key id (identifier and value are assembled at run time so this driver's own source does not carry them)	python tools/check_secrets.py	1	0	OK	tests/test_secret_scanner.py	docs/audit/logs/phaseD/NC-22-violated.log ; docs/audit/logs/phaseD/NC-22-clean.log
NC-23	tools/check_semgrep_severity.py	a Semgrep JSON report carrying one ERROR-severity finding	python tools/check_semgrep_severity.py $NC_SCRATCH/semgrep-bad.json	1	0	OK	tests/test_semgrep_severity_gate.py	docs/audit/logs/phaseD/NC-23-violated.log ; docs/audit/logs/phaseD/NC-23-clean.log
NC-24	tools/check_stdlib_hash_boundary.py (INVARIANT-1)	a package module outside the five-file trust bootstrap imports hashlib	python tools/check_stdlib_hash_boundary.py	1	0	OK	tests/test_stdlib_hash_boundary_gate.py	docs/audit/logs/phaseD/NC-24-violated.log ; docs/audit/logs/phaseD/NC-24-clean.log
NC-25	tools/check_suppression_hygiene.py (INVARIANT-13)	a bare '# nosec' with no rule id and no justification	python tools/check_suppression_hygiene.py	1	0	OK	tests/test_suppression_hygiene_gate.py	docs/audit/logs/phaseD/NC-25-violated.log ; docs/audit/logs/phaseD/NC-25-clean.log
NC-26	tools/check_type_check_scope.py	a mypy line-coverage report that covers one file instead of the whole tracked scope	python tools/check_type_check_scope.py $NC_SCRATCH/mypy-partial/coverage.json	1	0	OK	tests/test_type_check_scope_gate.py	docs/audit/logs/phaseD/NC-26-violated.log ; docs/audit/logs/phaseD/NC-26-clean.log
NC-27	tools/check_vector_provenance.py	one pinned published test-vector file gains a trailing byte	python tools/check_vector_provenance.py	1	0	OK	tests/test_vector_provenance_gate.py	docs/audit/logs/phaseD/NC-27-violated.log ; docs/audit/logs/phaseD/NC-27-clean.log
NC-28	tools/check_version_consistency.py	the package __version__ disagrees with every other declaration site	python tools/check_version_consistency.py	1	0	OK	tests/test_version_consistency.py (if present) / this control	docs/audit/logs/phaseD/NC-28-violated.log ; docs/audit/logs/phaseD/NC-28-clean.log
NC-29	tools/check_workflow_commands.py (INVARIANT-25): runner labels	one job's runs-on names a runner label GitHub does not offer	python tools/check_workflow_commands.py	1	0	OK	tests/test_workflow_command_checks.py	docs/audit/logs/phaseD/NC-29-violated.log ; docs/audit/logs/phaseD/NC-29-clean.log
NC-29b	tools/check_workflow_commands.py: check_expression_syntax()	one job condition uses '=' where the expression grammar needs '=='	python tools/check_workflow_commands.py	1	0	OK	tests/test_workflow_command_checks.py	docs/audit/logs/phaseD/NC-29b-violated.log ; docs/audit/logs/phaseD/NC-29b-clean.log
NC-29c	tools/check_workflow_commands.py: check_expression_syntax()	one bare (undelimited) job `if:` condition computes with arithmetic	python tools/check_workflow_commands.py	1	0	OK	tests/test_workflow_command_checks.py	docs/audit/logs/phaseD/NC-29c-violated.log ; docs/audit/logs/phaseD/NC-29c-clean.log
NC-30	tools/check_error_state_gating.py (INVARIANT-39 / FIPS 140-3 4.9.2)	one native-reaching entry point loses its check_crypto_permitted() guard	python tools/check_error_state_gating.py	1	0	OK	tests/test_error_state_gating.py (if present) / this control	docs/audit/logs/phaseD/NC-30-violated.log ; docs/audit/logs/phaseD/NC-30-clean.log
NC-31	tools/check_avx_scoping.py (audit M3)	the library rebuilt with a library-wide -mavx2 (the original SIGILL defect)	python tools/check_avx_scoping.py --lib $NC_SCRATCH/build-nc-avx2/lib/libama_cryptography.so	1	0	OK	tests/test_avx_scoping_gate.py	docs/audit/logs/phaseD/NC-31-violated.log ; docs/audit/logs/phaseD/NC-31-clean.log
NC-32	tools/check_secret_division.py (KyberSlash)	ama_kyber_decapsulate rebuilt with a division whose operands derive from the secret key and ciphertext	python tools/check_secret_division.py --lib $NC_SCRATCH/build-nc-div/lib/libama_cryptography.so	1	0	OK	tests/test_secret_division_gate.py	docs/audit/logs/phaseD/NC-32-violated.log ; docs/audit/logs/phaseD/NC-32-clean.log
NC-33	tools/check_export_allowlist.py (audit B2)	the library relinked without its version script, exporting internal symbols and a non-ama_ global	python tools/check_export_allowlist.py $NC_SCRATCH/nc-export.so	1	0	OK	tests/test_export_allowlist.py (if present) / this control	docs/audit/logs/phaseD/NC-33-violated.log ; docs/audit/logs/phaseD/NC-33-clean.log
NC-34	tools/check_vendor_isolation.py --library (INVARIANT-1)	the library relinked against OpenSSL with a translation unit that calls EVP_MD_CTX_new	python tools/check_vendor_isolation.py --library $NC_SCRATCH/nc-vendor.so	1	0	OK	tests/test_vendor_isolation_gate.py	docs/audit/logs/phaseD/NC-34-violated.log ; docs/audit/logs/phaseD/NC-34-clean.log
NC-35	tools/check_release_tag.py (INVARIANT-10): lightweight tag	a lightweight (un-annotated, unsigned) release tag in a scratch clone	cd $NC_SCRATCH/tagrepo && python tools/check_release_tag.py v9.9.9	1	0	OK	tests/test_release_tag_gate.py	docs/audit/logs/phaseD/NC-35-violated.log ; docs/audit/logs/phaseD/NC-35-clean.log
NC-35b	tools/check_release_tag.py (INVARIANT-10): annotated but unsigned tag	an annotated, unsigned release tag in a scratch clone	cd $NC_SCRATCH/tagrepo2 && python tools/check_release_tag.py v9.9.8	1	0	OK	tests/test_release_tag_gate.py	docs/audit/logs/phaseD/NC-35b-violated.log ; docs/audit/logs/phaseD/NC-35b-clean.log
NC-36	benchmarks/check_baseline_justification.py (baseline-guard.yml)	a commit that lowers a benchmark floor in benchmarks/baseline.json with no justification in the PR body	cd $NC_SCRATCH/baserepo && python benchmarks/check_baseline_justification.py --base-ref HEAD~1 --head-ref HEAD --pr-body-file $NC_SCRATCH/pr-body.txt	1	0	OK	tests/test_benchmark_baseline_infra.py	docs/audit/logs/phaseD/NC-36-violated.log ; docs/audit/logs/phaseD/NC-36-clean.log
NC-40	tools/build_post_kats.py --check (POST vector provenance)	one committed FIPS 140-3 power-on self-test vector file gains a trailing byte	python tools/build_post_kats.py --check	1	0	OK	tests/test_post_kats_build.py (if present) / this control	docs/audit/logs/phaseD/NC-40-violated.log ; docs/audit/logs/phaseD/NC-40-clean.log
NC-41	tools/build_keyformat_corpus.py --verify	one key-format corpus record loses its last two hex digits (declared byte count no longer matches)	python tools/build_keyformat_corpus.py --verify	1	0	OK	tests/test_keyformat_corpus_provenance.py	docs/audit/logs/phaseD/NC-41-violated.log ; docs/audit/logs/phaseD/NC-41-clean.log
NC-42	tools/refresh_wycheproof_corpus.py --offline (corpus-provenance.yml)	one vendored Wycheproof vector file gains a trailing byte	python tools/refresh_wycheproof_corpus.py --offline	1	0	OK	tests/test_wycheproof_corpus_provenance.py	docs/audit/logs/phaseD/NC-42-violated.log ; docs/audit/logs/phaseD/NC-42-clean.log
NC-43	tools/generate_sbom.py --check (INVARIANT-11)	the committed C-library SBOM loses one component entry	python tools/generate_sbom.py --check	1	0	OK	tests/test_sbom_generation.py (if present) / this control	docs/audit/logs/phaseD/NC-43-violated.log ; docs/audit/logs/phaseD/NC-43-clean.log
NC-44	tools/generate_visuals.py --check	the committed visuals manifest records one more test than the tree has	python tools/generate_visuals.py --check	1	0	OK	tests/test_visual_assets_gate.py	docs/audit/logs/phaseD/NC-44-violated.log ; docs/audit/logs/phaseD/NC-44-clean.log
NC-46	tools/check_verification_claim_honesty.py (INVARIANT-37)	README.md claims AMA verifies the TSA signature and certificate chain, capabilities RFC3161_CAPABILITIES withholds	python tools/check_verification_claim_honesty.py	1	0	OK	tests/test_verification_claim_honesty_gate.py	docs/audit/logs/phaseD/NC-46-violated.log ; docs/audit/logs/phaseD/NC-46-clean.log
NC-47	tools/check_dudect_class_staging.py	a dudect harness branches on class_idx between the class draw and the opening timer	python tools/check_dudect_class_staging.py	1	0	OK	tests/test_dudect_staging_gate.py	docs/audit/logs/phaseD/NC-47-violated.log ; docs/audit/logs/phaseD/NC-47-clean.log
