primitive	backends_on_this_host	kat_acvp_wycheproof	cross_backend_equivalence	constant_time_evidence	failure_paths	exhaustive_or_boundary	ledger_ids_and_logs
ML-KEM-1024	portable, AVX2 (x86-64 host); NEON, SVE2 (AArch64 lanes under qemu-user)	C KAT 10/10 (test_kat); ACVP KeyGen 25/25 + EncapDecap 25/25 (50+50 skipped: ML-KEM-512/768 not shipped; 90 non-AFT); Python tests/test_pqc_kat.py 45 passed	test_kyber_ntt_equiv, test_kyber_cbd2_equiv (x86); test_kyber_poly_equiv skips on x86 (no SIMD poly helper) and runs on the AArch64 lanes; dispatch-only kyber-ntt-avx2 / kyber-ntt-neon / kyber-sve2 tests in the C lanes; SVE2 at VL 128/256 (validate2 vq1/vq2)	dudect Kyber-1024 decaps PASS (D-DUDECT-01, 100k); asm census: no division instruction in ama_kyber.c at any level under gcc/clang/aarch64-gcc; ama_kyber_ntt_avx2 one divl at clang -Os only (loop stride, not shipped level)	implicit rejection (test_kat), tests/test_post_failclosed.py, E-INTEG-01	Compress_d/Decompress_d exhaustion re-run: 5 widths x 3,329 = 16,645 pairs, ALL PASSED (F-C-test_kyber_compress)	F-C-test_kat, F-ACVP-01, F-PY-KAT-01, F-C-test_kyber_ntt_equiv, F-C-test_kyber_cbd2_equiv, F-C-test_kyber_poly_equiv (77), D-DUDECT-01, E-ASM sweep, F-C-test_kyber_compress
ML-DSA-65	portable, AVX2; NEON, SVE2 (qemu)	C KAT 10/10; ACVP KeyGen 25/25, SigVer 30/30 (50 + 165 skipped: other parameter sets / internal+pre-hash groups); Python test_pqc_kat.py	test_dilithium_ntt_equiv, test_dilithium_rej_equiv (x86); dispatch-only dilithium-ntt-avx2 / -neon	dudect ML-DSA-65 sign INFO (message-dependent rejection count, by design; |t| 1588 recorded, lane is informational); asm census: dil_sign_internal divl at O1+ is the inlined public nonce arithmetic `f / P->l` of dil_expand_matrix (line 1640), operands public	tamper detection (test_kat), E-INTEG-01	—	F-C-test_kat, F-ACVP-01, F-C-test_dilithium_ntt_equiv, F-C-test_dilithium_rej_equiv, D-DUDECT-01, E-ASM sweep
SLH-DSA-SHA2-256f	portable, AVX2 (SIMD SHA-256 x4/x8); NEON, SVE2	ACVP SigVer 14/14 (490 skipped: other parameter sets); C test_kat roundtrip + tamper	test_sphincs_simd_equiv (x86, 5.6 s)	dudect SLH-DSA-SHA2-256f sign PASS (D-DUDECT-01)	tamper detection	—	F-ACVP-01, F-C-test_sphincs_simd_equiv, D-DUDECT-01
Ed25519	donna (assembly) and fe51 backends; NEON	Wycheproof ed25519_test.json 150 (all accounted); Python tests/test_ed25519_native.py 6, test_ed25519_batch_verify.py 6	ed25519 backend parity gate (tools/check_ed25519_backend_parity.py, in CI); test_ed25519_canonical_r/s under Valgrind clean	dudect Ed25519 sign PASS; verify (vartime, info-only) PASS-as-recorded; asm census: idiv only in vartime double-scalarmult (public scalars) and at -O0/-Os in comb/wnaf helpers on public indices	non-canonical R/S rejection tests (test_ed25519_canonical_*), Wycheproof invalid cases	—	F-WYCHE-01, F-PY-KAT-01, D-DUDECT-01, D-VALGRIND rows, E-ASM sweep
X25519	fe64 mulx (BMI2/ADX), fe51, AVX2 4-way (opt-in); NEON	Wycheproof x25519_test.json 518 (31 low-order rejections counted under a named policy)	test_x25519_fe64_mulx_equiv, test_x25519_field_equiv; dispatch-only x25519-avx2	dudect X25519 scalarmult PASS, batch x4 PASS	low-order point rejection (policy bucket, 31 vectors)	—	F-WYCHE-01, F-C-test_x25519_fe64_mulx_equiv, F-C-test_x25519_field_equiv, D-DUDECT-01
secp256k1	portable	Wycheproof ecdsa_secp256k1_sha256 476 (72 high-s counted as policy divergence: malleability rejected); RFC 6979 tests	—	dudect secp256k1 scalar multiplication PASS, ECDSA sign PASS	high-s rejection	—	F-WYCHE-01, F-PY-KAT-01, D-DUDECT-01
P-256 / P-384 / P-521	portable with Montgomery mulx path (x86)	Wycheproof ecdsa_secp256r1 484, secp384r1 504, secp521r1 542	test_nistp_mont_mulx_equiv	asm census: nistp_scalar_mul_generator idivq at clang -O0 only, pointer-difference on a public table index	Wycheproof invalid encodings	—	F-WYCHE-01, F-C-test_nistp_mont_mulx_equiv, E-ASM sweep
AES-256-GCM	scalar (constant-time bitsliced fallback), AES-NI+AVX2, VAES (skipped: host lost VAES mid-session), NEON	ACVP AES-256-GCM 4/4; Wycheproof aes_gcm 316 (211 key-size-not-256 and 37 non-96-bit-IV vectors counted under named policies); C test_aes_gcm_scalar_kat	test_aes_gcm_vaes_equiv exit 77 on this host after the CPU change (row A-25); test_aes_gcm_neon_equiv on AArch64 lanes	dudect AES-GCM tag verify PASS, forgery-position PASS; callgrind GHASH gate (check_ghash_constant_time, CI)	wrong-length tag / forged tag (Wycheproof), 96-bit IV policy	—	F-ACVP-01, F-WYCHE-01, F-C-test_aes_gcm_scalar_kat, F-C-test_aes_gcm_vaes_equiv (77), D-DUDECT-01
ChaCha20-Poly1305	portable, AVX2 x8, NEON x8, SVE2	Wycheproof chacha20_poly1305 325; Python vectors	test_chacha20_x8_avx2_equiv; dispatch-only chacha20-avx2x8 / -neon	dudect tag verify PASS, forgery-position PASS	forged tag rejection	—	F-WYCHE-01, F-C-test_chacha20_x8_avx2_equiv, D-DUDECT-01
Ascon-AEAD128 / Ascon-Hash256	portable	Python tests/test_ascon.py 3 (published vectors)	—	dudect Ascon-AEAD128 tag verify PASS, encrypt PASS, Ascon-Hash256 PASS	—	—	F-PY-KAT-01, D-DUDECT-01
