path	line	class	function	site	triage
ama_cryptography/__init__.py	71	except-pass	<module>	except (OSError, AttributeError)	operational: optional diagnostics hook; nothing security-relevant is decided
ama_cryptography/__init__.py	361	except-return-False	_process_is_the_signer	except Exception	fail-closed: False is the deny/unavailable direction; operations on an unavailable backend raise (e.g. KyberUnavailableError), no Python fallback exists (independence proof F-04)
ama_cryptography/__init__.py	451	env-read	<module>	_os.environ.get(_diag_env, '')	documented-knob: named, validated (booleans reject unknown values; numeric override bounded), ignored in secure-execution mode where it selects code (AMA_CRYPTO_LIB_PATH)
ama_cryptography/_artefact_source.py	162	except-return-None	load_artefact_fields	except FileNotFoundError	fail-closed: None means 'could not determine'; every caller checked treats it as unavailable/unverified (anchored builds refuse, developer builds warn)
ama_cryptography/_build_sign.py	86	env-read	_require_build_pipeline	os.environ.get(_BUILD_PIPELINE_ENV)	documented-knob: named, validated (booleans reject unknown values; numeric override bounded), ignored in secure-execution mode where it selects code (AMA_CRYPTO_LIB_PATH)
ama_cryptography/_build_sign.py	333	env-read	_env_flag_enabled	os.environ.get(name, '')	documented-knob: named, validated (booleans reject unknown values; numeric override bounded), ignored in secure-execution mode where it selects code (AMA_CRYPTO_LIB_PATH)
ama_cryptography/_build_sign.py	341	env-read	_load_hex_env_bytes	os.environ.get(name, '')	documented-knob: named, validated (booleans reject unknown values; numeric override bounded), ignored in secure-execution mode where it selects code (AMA_CRYPTO_LIB_PATH)
ama_cryptography/_finalizer_health.py	57	except-pass	record_finalizer_error	except Exception	operational: recording a finalizer error must never raise from a finalizer
ama_cryptography/_self_test.py	393	except-return-False	_integrity_signer_process	except Exception	fail-closed: False is the deny/unavailable direction; operations on an unavailable backend raise (e.g. KyberUnavailableError), no Python fallback exists (independence proof F-04)
ama_cryptography/_self_test.py	424	except-return-None	_compute_native_library_digest	except OSError	fail-closed: None means 'could not determine'; every caller checked treats it as unavailable/unverified (anchored builds refuse, developer builds warn)
ama_cryptography/_self_test.py	651	warning-in-security-fn	_check_binding_extensions	logging.getLogger(__name__).warning('%s', note)	fail-closed: binding-extension note is logged AND the failing digest refuses import (INTERNALERROR observed in this audit when the local build's digests were stale)
ama_cryptography/_self_test.py	658	env-read	_env_flag_enabled	os.environ.get(name, '')	documented-knob: named, validated (booleans reject unknown values; numeric override bounded), ignored in secure-execution mode where it selects code (AMA_CRYPTO_LIB_PATH)
ama_cryptography/_self_test.py	1000	except-return-True	_cache_header_is_live	except OSError	fail-closed: True means 'the cache is live and must be judged' (an unreadable source keeps the cache under verification)
ama_cryptography/_self_test.py	1005	except-return-True	_cache_header_is_live	except OSError	fail-closed: same as line 1000 (stat failure keeps the cache under verification)
ama_cryptography/_self_test.py	1896	warning-in-security-fn	verify_module_integrity	logger.warning('Module integrity verified by UNSIGNED digest only — the Ed25519 signature check did not run (%s). This detects accidental co	documented: unsigned-digest-only verification is the developer-build state; a release build is anchored (tag-trust preflight NC-35/NC-35b refuses an unanchored release)
ama_cryptography/_self_test.py	2467	env-read	_compute_timing_min_effect_ns	os.environ.get('AMA_POST_TIMING_MIN_EFFECT_NS', '')	documented-knob: named, validated (booleans reject unknown values; numeric override bounded), ignored in secure-execution mode where it selects code (AMA_CRYPTO_LIB_PATH)
ama_cryptography/_self_test.py	2471	except-log-only	_compute_timing_min_effect_ns	except ValueError	documented-knob: a non-numeric AMA_POST_TIMING_MIN_EFFECT_NS is ignored with a WARNING; an honoured value is bounded by a ceiling and logged
ama_cryptography/_self_test.py	3149	warning-in-security-fn	_run_self_tests	logger.warning('FIPS 140-3 POST completed in %.1f ms but %d of %d tests were SKIPPED — this module is NOT fully verified. Untested: %s. Set 	fail-closed at the service level: a POST test skips only when its backend is unavailable, and an unavailable backend's operations raise; AMA_FIPS_STRICT=1 turns a skip into a hard failure (documented)
ama_cryptography/adaptive_posture.py	1336	except-log-only	_trigger_rotation	except Exception	operational: a rotation trigger failure is logged; the posture engine is advisory
ama_cryptography/adaptive_posture.py	1355	except-log-only	_trigger_rotation	except Exception	operational: as 1336
ama_cryptography/adaptive_posture.py	1479	except-log-only	_trigger_algorithm_switch	except Exception	operational: algorithm-switch trigger; advisory
ama_cryptography/agent_binding.py	222	except-return-False	_setup_agent_binding_ctypes	except AttributeError	fail-closed: False is the deny/unavailable direction; operations on an unavailable backend raise (e.g. KyberUnavailableError), no Python fallback exists (independence proof F-04)
ama_cryptography/agent_binding.py	450	except-return-False	is_permitted	except EthicalBindingError	fail-closed: False is the deny/unavailable direction; operations on an unavailable backend raise (e.g. KyberUnavailableError), no Python fallback exists (independence proof F-04)
ama_cryptography/ascon.py	158	except-return-False	_setup_ascon_ctypes	except AttributeError	fail-closed: False is the deny/unavailable direction; operations on an unavailable backend raise (e.g. KyberUnavailableError), no Python fallback exists (independence proof F-04)
ama_cryptography/crypto_api.py	153	env-read	_env_flag_enabled	os.environ.get(name, '')	documented-knob: named, validated (booleans reject unknown values; numeric override bounded), ignored in secure-execution mode where it selects code (AMA_CRYPTO_LIB_PATH)
ama_cryptography/crypto_api.py	247	warning-in-security-fn	<module>	warnings.warn('Quantum-resistant cryptography NOT available. Build native C library for post-quantum protection: cmake -B build -DAMA_USE_NA	fail-closed: the warning accompanies backend flags that make every PQ operation raise; the warning is not the control
ama_cryptography/crypto_api.py	573	except-return-False	verify	except ValueError	fail-closed: False is the deny/unavailable direction; operations on an unavailable backend raise (e.g. KyberUnavailableError), no Python fallback exists (independence proof F-04)
ama_cryptography/crypto_api.py	933	except-pass	_atomic_write_json	except OSError	operational: temp-file cleanup after an atomic write failed; the write itself raised
ama_cryptography/crypto_api.py	948	except-log-only	_atomic_write_json	except OSError	operational: housekeeping/monitoring/legacy path; see per-site notes
ama_cryptography/crypto_api.py	1099	except-return-None	_load_persisted_counters	except FileNotFoundError	fail-closed: None means 'could not determine'; every caller checked treats it as unavailable/unverified (anchored builds refuse, developer builds warn)
ama_cryptography/crypto_api.py	1118	except-pass	_acquire_file_lock	except ImportError	degrade-logged: fcntl absent (non-POSIX) -> no file lock; counters are still validated on reload
ama_cryptography/crypto_api.py	1194	except-log-only	_reload_counters_under_lock	except FileNotFoundError	operational: housekeeping/monitoring/legacy path; see per-site notes
ama_cryptography/crypto_api.py	1214	except-log-only	_reload_counters_under_lock	except OSError	operational: housekeeping/monitoring/legacy path; see per-site notes
ama_cryptography/double_helix_engine.py	169	permissive-default	__init__	self.config.get('enable_Q', True)	not-security: double_helix_engine model-component toggles (no cryptographic effect)
ama_cryptography/double_helix_engine.py	170	permissive-default	__init__	self.config.get('enable_P', True)	not-security: double_helix_engine model-component toggles (no cryptographic effect)
ama_cryptography/double_helix_engine.py	171	permissive-default	__init__	self.config.get('enable_D', True)	not-security: double_helix_engine model-component toggles (no cryptographic effect)
ama_cryptography/double_helix_engine.py	172	permissive-default	__init__	self.config.get('enable_E', True)	not-security: double_helix_engine model-component toggles (no cryptographic effect)
ama_cryptography/double_helix_engine.py	173	permissive-default	__init__	self.config.get('enable_V', True)	not-security: double_helix_engine model-component toggles (no cryptographic effect)
ama_cryptography/double_helix_engine.py	174	permissive-default	__init__	self.config.get('enable_W', True)	not-security: double_helix_engine model-component toggles (no cryptographic effect)
ama_cryptography/double_helix_engine.py	175	permissive-default	__init__	self.config.get('enable_R3', True)	not-security: double_helix_engine model-component toggles (no cryptographic effect)
ama_cryptography/double_helix_engine.py	176	permissive-default	__init__	self.config.get('enable_An', True)	not-security: double_helix_engine model-component toggles (no cryptographic effect)
ama_cryptography/double_helix_engine.py	177	permissive-default	__init__	self.config.get('enable_Lambda', True)	not-security: double_helix_engine model-component toggles (no cryptographic effect)
ama_cryptography/double_helix_engine.py	178	permissive-default	__init__	self.config.get('enable_Theta', True)	not-security: double_helix_engine model-component toggles (no cryptographic effect)
ama_cryptography/double_helix_engine.py	179	permissive-default	__init__	self.config.get('enable_Phi', True)	not-security: double_helix_engine model-component toggles (no cryptographic effect)
ama_cryptography/double_helix_engine.py	180	permissive-default	__init__	self.config.get('enable_Z', True)	not-security: double_helix_engine model-component toggles (no cryptographic effect)
ama_cryptography/double_helix_engine.py	181	permissive-default	__init__	self.config.get('enable_Hq', True)	not-security: double_helix_engine model-component toggles (no cryptographic effect)
ama_cryptography/double_helix_engine.py	182	permissive-default	__init__	self.config.get('enable_VQE', True)	not-security: double_helix_engine model-component toggles (no cryptographic effect)
ama_cryptography/double_helix_engine.py	183	permissive-default	__init__	self.config.get('enable_QBM', True)	not-security: double_helix_engine model-component toggles (no cryptographic effect)
ama_cryptography/double_helix_engine.py	184	permissive-default	__init__	self.config.get('enable_Attn', True)	not-security: double_helix_engine model-component toggles (no cryptographic effect)
ama_cryptography/double_helix_engine.py	185	permissive-default	__init__	self.config.get('enable_Fractal', True)	not-security: double_helix_engine model-component toggles (no cryptographic effect)
ama_cryptography/double_helix_engine.py	186	permissive-default	__init__	self.config.get('enable_Symmetry', True)	not-security: double_helix_engine model-component toggles (no cryptographic effect)
ama_cryptography/double_helix_engine.py	187	permissive-default	__init__	self.config.get('enable_Information', True)	not-security: double_helix_engine model-component toggles (no cryptographic effect)
ama_cryptography/double_helix_engine.py	188	permissive-default	__init__	self.config.get('enable_Relativistic', True)	not-security: double_helix_engine model-component toggles (no cryptographic effect)
ama_cryptography/double_helix_engine.py	189	permissive-default	__init__	self.config.get('enable_Alignment', True)	not-security: double_helix_engine model-component toggles (no cryptographic effect)
ama_cryptography/double_helix_engine.py	190	permissive-default	__init__	self.config.get('enable_Omega', True)	not-security: double_helix_engine model-component toggles (no cryptographic effect)
ama_cryptography/double_helix_engine.py	191	permissive-default	__init__	self.config.get('enable_Noise', True)	not-security: double_helix_engine model-component toggles (no cryptographic effect)
ama_cryptography/double_helix_engine.py	192	permissive-default	__init__	self.config.get('enable_inf_b', True)	not-security: double_helix_engine model-component toggles (no cryptographic effect)
ama_cryptography/hybrid_combiner.py	138	except-return-None	_try_load_native	except (ImportError, AttributeError)	fail-closed: None means 'could not determine'; every caller checked treats it as unavailable/unverified (anchored builds refuse, developer builds warn)
ama_cryptography/hybrid_combiner.py	157	except-return-False	_setup_hkdf_ctypes	except AttributeError	fail-closed: False is the deny/unavailable direction; operations on an unavailable backend raise (e.g. KyberUnavailableError), no Python fallback exists (independence proof F-04)
ama_cryptography/integrity.py	52	env-read	_build_pipeline_active	os.environ.get(_BUILD_PIPELINE_ENV)	documented-knob: named, validated (booleans reject unknown values; numeric override bounded), ignored in secure-execution mode where it selects code (AMA_CRYPTO_LIB_PATH)
ama_cryptography/key_formats.py	384	env-read	_initial_pq_consistency	os.environ.get(PQ_CONSISTENCY_ENV)	documented-knob: AMA_KEY_IMPORT_PQ_CONSISTENCY rejects unrecognised values (KeyFormatError); default True
ama_cryptography/key_management.py	63	env-read	_env_flag_enabled	os.environ.get(name, '')	documented-knob: named, validated (booleans reject unknown values; numeric override bounded), ignored in secure-execution mode where it selects code (AMA_CRYPTO_LIB_PATH)
ama_cryptography/key_management.py	102	except-log-only	_atomic_write_bytes	except OSError	operational: housekeeping/monitoring/legacy path; see per-site notes
ama_cryptography/key_management.py	801	except-pass	__init__	except OSError	operational: chmod of the store directory best-effort; the store's own permissions are enforced on open
ama_cryptography/key_management.py	956	warning-in-security-fn	_enforce_kdf_policy	warnings.warn(f'Key store at {self.storage_path} names KDF parameters below the policy floor ({detail}). Opening anyway because allow_legacy	documented-knob: warns only when the caller passed allow_legacy_kdf=True; the default refuses a store below the policy floor
ama_cryptography/key_management.py	1189	warning-in-security-fn	_derive_key_from_password	warnings.warn(f'SecureKeyStorage using legacy KDF v{version} with {iterations} iterations. Run migrate_kdf() to upgrade to current security 	documented-knob: legacy KDF version only reachable with allow_legacy_kdf=True; migrate_kdf() is the stated remedy
ama_cryptography/key_management.py	1340	except-log-only	migrate_kdf	except OSError	operational: housekeeping/monitoring/legacy path; see per-site notes
ama_cryptography/key_management.py	1758	except-continue	_find_token_slot	except self.pkcs11.PyKCS11Error	operational: PKCS#11 slot enumeration skips a slot that errors; find_key returns None (fail-closed for the caller)
ama_cryptography/key_management.py	1861	except-return-None	find_key	except self.pkcs11.PyKCS11Error	fail-closed: None means 'could not determine'; every caller checked treats it as unavailable/unverified (anchored builds refuse, developer builds warn)
